geo_value,time_value,value,disease,week,date
ak,202440,1.0,Flu,202440,2024-10-05
al,202440,0.0,Flu,202440,2024-10-05
ar,202440,3.0,Flu,202440,2024-10-05
as,202440,,Flu,202440,2024-10-05
az,202440,40.0,Flu,202440,2024-10-05
ca,202440,30.0,Flu,202440,2024-10-05
co,202440,3.0,Flu,202440,2024-10-05
ct,202440,4.0,Flu,202440,2024-10-05
dc,202440,0.0,Flu,202440,2024-10-05
de,202440,0.0,Flu,202440,2024-10-05
fl,202440,53.0,Flu,202440,2024-10-05
ga,202440,1.0,Flu,202440,2024-10-05
gu,202440,1.0,Flu,202440,2024-10-05
hi,202440,0.0,Flu,202440,2024-10-05
ia,202440,1.0,Flu,202440,2024-10-05
id,202440,0.0,Flu,202440,2024-10-05
il,202440,2.0,Flu,202440,2024-10-05
in,202440,4.0,Flu,202440,2024-10-05
ks,202440,0.0,Flu,202440,2024-10-05
ky,202440,0.0,Flu,202440,2024-10-05
la,202440,5.0,Flu,202440,2024-10-05
ma,202440,,Flu,202440,2024-10-05
md,202440,1.0,Flu,202440,2024-10-05
me,202440,0.0,Flu,202440,2024-10-05
mi,202440,12.0,Flu,202440,2024-10-05
mn,202440,,Flu,202440,2024-10-05
mo,202440,0.0,Flu,202440,2024-10-05
mp,202440,,Flu,202440,2024-10-05
ms,202440,10.0,Flu,202440,2024-10-05
mt,202440,0.0,Flu,202440,2024-10-05
nc,202440,0.0,Flu,202440,2024-10-05
nd,202440,0.0,Flu,202440,2024-10-05
ne,202440,0.0,Flu,202440,2024-10-05
nh,202440,0.0,Flu,202440,2024-10-05
nj,202440,17.0,Flu,202440,2024-10-05
nm,202440,1.0,Flu,202440,2024-10-05
nv,202440,1.0,Flu,202440,2024-10-05
ny,202440,7.0,Flu,202440,2024-10-05
oh,202440,0.0,Flu,202440,2024-10-05
ok,202440,0.0,Flu,202440,2024-10-05
or,202440,0.0,Flu,202440,2024-10-05
pa,202440,61.0,Flu,202440,2024-10-05
pr,202440,3.0,Flu,202440,2024-10-05
ri,202440,0.0,Flu,202440,2024-10-05
sc,202440,1.0,Flu,202440,2024-10-05
sd,202440,0.0,Flu,202440,2024-10-05
tn,202440,4.0,Flu,202440,2024-10-05
tx,202440,1.0,Flu,202440,2024-10-05
ut,202440,0.0,Flu,202440,2024-10-05
va,202440,6.0,Flu,202440,2024-10-05
vi,202440,,Flu,202440,2024-10-05
vt,202440,0.0,Flu,202440,2024-10-05
wa,202440,10.0,Flu,202440,2024-10-05
wi,202440,1.0,Flu,202440,2024-10-05
wv,202440,,Flu,202440,2024-10-05
wy,202440,2.0,Flu,202440,2024-10-05
ak,202441,1.0,Flu,202441,2024-10-12
al,202441,2.0,Flu,202441,2024-10-12
ar,202441,0.0,Flu,202441,2024-10-12
as,202441,,Flu,202441,2024-10-12
az,202441,4.0,Flu,202441,2024-10-12
ca,202441,30.0,Flu,202441,2024-10-12
co,202441,0.0,Flu,202441,2024-10-12
ct,202441,0.0,Flu,202441,2024-10-12
dc,202441,0.0,Flu,202441,2024-10-12
de,202441,0.0,Flu,202441,2024-10-12
fl,202441,17.0,Flu,202441,2024-10-12
ga,202441,0.0,Flu,202441,2024-10-12
gu,202441,,Flu,202441,2024-10-12
